Location,Score,Author,Title,Year
3.2.11,2.001,"Garral, Michael D.",Is the Self in Hume Overmoralized?,2007
3.3.1,0.999,"Garral, Michael D.",Is the Self in Hume Overmoralized?,2007
3.3.2,0.999,"Garral, Michael D.",Is the Self in Hume Overmoralized?,2007
3.3.3,1.074,"Garral, Michael D.",Is the Self in Hume Overmoralized?,2007
3.3.4,1.853,"Garral, Michael D.",Is the Self in Hume Overmoralized?,2007
3.3.5,0.074,"Garral, Michael D.",Is the Self in Hume Overmoralized?,2007
1.1.1,1.0,"Kail, P. J. E.",Projection and Realism in Humes Philosophy,2007
1.1.4,1.0,"Kail, P. J. E.",Projection and Realism in Humes Philosophy,2007
1.1.7,3.0,"Kail, P. J. E.",Projection and Realism in Humes Philosophy,2007
1.3.14,1.0,"Kail, P. J. E.",Projection and Realism in Humes Philosophy,2007
1.4.2,3.0,"Kail, P. J. E.",Projection and Realism in Humes Philosophy,2007
1.4.5,3.0,"Kail, P. J. E.",Projection and Realism in Humes Philosophy,2007
1.4.6,19.008,"Kail, P. J. E.",Projection and Realism in Humes Philosophy,2007
2.2.1,0.27,"Kail, P. J. E.",Projection and Realism in Humes Philosophy,2007
2.2.6,1.0,"Kail, P. J. E.",Projection and Realism in Humes Philosophy,2007
2.2.10,0.3,"Kail, P. J. E.",Projection and Realism in Humes Philosophy,2007
2.2.11,0.18,"Kail, P. J. E.",Projection and Realism in Humes Philosophy,2007
2.2.12,0.24,"Kail, P. J. E.",Projection and Realism in Humes Philosophy,2007
App.,17.0,"Kail, P. J. E.",Projection and Realism in Humes Philosophy,2007
Abs,1.0,"Kail, P. J. E.",Projection and Realism in Humes Philosophy,2007
App.,0.999,"Pears, David",Hume on Personal Identity,1993
1.1.1,1.0,"Mcintyre, Jane L.",Hume and the Problem of Personal Identity,2009
1.1.2,1.0,"Mcintyre, Jane L.",Hume and the Problem of Personal Identity,2009
1.1.5,1.0,"Mcintyre, Jane L.",Hume and the Problem of Personal Identity,2009
1.3.9,3.0,"Mcintyre, Jane L.",Hume and the Problem of Personal Identity,2009
1.3.10,1.0,"Mcintyre, Jane L.",Hume and the Problem of Personal Identity,2009
1.3.14,2.0,"Mcintyre, Jane L.",Hume and the Problem of Personal Identity,2009
1.4.2,8.901,"Mcintyre, Jane L.",Hume and the Problem of Personal Identity,2009
1.4.4,1.992,"Mcintyre, Jane L.",Hume and the Problem of Personal Identity,2009
1.4.5,24.126,"Mcintyre, Jane L.",Hume and the Problem of Personal Identity,2009
1.4.6,24.079,"Mcintyre, Jane L.",Hume and the Problem of Personal Identity,2009
1.4.7,0.999,"Mcintyre, Jane L.",Hume and the Problem of Personal Identity,2009
2.1.2,1.0,"Mcintyre, Jane L.",Hume and the Problem of Personal Identity,2009
2.1.5,3.001,"Mcintyre, Jane L.",Hume and the Problem of Personal Identity,2009
2.1.7,0.999,"Mcintyre, Jane L.",Hume and the Problem of Personal Identity,2009
2.1.9,1.0,"Mcintyre, Jane L.",Hume and the Problem of Personal Identity,2009
2.1.11,1.0,"Mcintyre, Jane L.",Hume and the Problem of Personal Identity,2009
2.2.2,1.0,"Mcintyre, Jane L.",Hume and the Problem of Personal Identity,2009
2.2.9,1.0,"Mcintyre, Jane L.",Hume and the Problem of Personal Identity,2009
2.3.2,2.0,"Mcintyre, Jane L.",Hume and the Problem of Personal Identity,2009
2.3.3,1.0,"Mcintyre, Jane L.",Hume and the Problem of Personal Identity,2009
2.3.6,1.0,"Mcintyre, Jane L.",Hume and the Problem of Personal Identity,2009
2.3.7,1.0,"Mcintyre, Jane L.",Hume and the Problem of Personal Identity,2009
3.1.2,1.0,"Mcintyre, Jane L.",Hume and the Problem of Personal Identity,2009
App.,7.998,"Mcintyre, Jane L.",Hume and the Problem of Personal Identity,2009
1.1.1,1.0,"Inukai, Yumiko",Jamess Answer to Hume The Empirical Basis of the Unified Self,2012
1.1.2,1.0,"Inukai, Yumiko",Jamess Answer to Hume The Empirical Basis of the Unified Self,2012
1.1.3,2.0,"Inukai, Yumiko",Jamess Answer to Hume The Empirical Basis of the Unified Self,2012
1.1.4,1.0,"Inukai, Yumiko",Jamess Answer to Hume The Empirical Basis of the Unified Self,2012
1.1.7,2.0,"Inukai, Yumiko",Jamess Answer to Hume The Empirical Basis of the Unified Self,2012
1.3.5,1.0,"Inukai, Yumiko",Jamess Answer to Hume The Empirical Basis of the Unified Self,2012
1.3.14,3.0,"Inukai, Yumiko",Jamess Answer to Hume The Empirical Basis of the Unified Self,2012
1.4.5,1.0,"Inukai, Yumiko",Jamess Answer to Hume The Empirical Basis of the Unified Self,2012
1.4.6,3.0,"Inukai, Yumiko",Jamess Answer to Hume The Empirical Basis of the Unified Self,2012
App.,2.0,"Inukai, Yumiko",Jamess Answer to Hume The Empirical Basis of the Unified Self,2012
1.1.1,1.0,"Ellis, Jonathan",The Contents of Humes Appendix and the Source of His Despair,2006
1.1.4,1.001,"Ellis, Jonathan",The Contents of Humes Appendix and the Source of His Despair,2006
1.3.8,4.008,"Ellis, Jonathan",The Contents of Humes Appendix and the Source of His Despair,2006
1.3.14,2.016,"Ellis, Jonathan",The Contents of Humes Appendix and the Source of His Despair,2006
1.4.2,4.925,"Ellis, Jonathan",The Contents of Humes Appendix and the Source of His Despair,2006
1.4.5,5.032,"Ellis, Jonathan",The Contents of Humes Appendix and the Source of His Despair,2006
1.4.6,77.375,"Ellis, Jonathan",The Contents of Humes Appendix and the Source of His Despair,2006
App.,38.0,"Ellis, Jonathan",The Contents of Humes Appendix and the Source of His Despair,2006
1.1.4,1.001,"Roth, Abraham Sesshu",What Was Humes Problem with Personal Identity?,2000
1.4.2,2.925,"Roth, Abraham Sesshu",What Was Humes Problem with Personal Identity?,2000
1.4.3,3.003,"Roth, Abraham Sesshu",What Was Humes Problem with Personal Identity?,2000
1.4.6,3.024,"Roth, Abraham Sesshu",What Was Humes Problem with Personal Identity?,2000
1.4.5,0.333,"Pappas, George S.",Perception of the Self,1992
1.4.6,2.673,"Pappas, George S.",Perception of the Self,1992
1.4.6,1.008,"Lybaert, Fauve",Could Hume Save His Account of Personal Identity? On the Role of Contiguity in the Constitution of Our Idea of Personal Identity,2012
1.2.1,1.999,"Garrett, Don",Book Review. Space and the Self in Humes Treatise Marina Frasca-spada,2001
1.2.2,1.0,"Garrett, Don",Book Review. Space and the Self in Humes Treatise Marina Frasca-spada,2001
1.4.5,0.999,"Garrett, Don",Book Review. Space and the Self in Humes Treatise Marina Frasca-spada,2001
1.1.7,1.0,"Hatfield, Gary","Hume, Space, and the Self",2009
1.2.1,1.0,"Hatfield, Gary","Hume, Space, and the Self",2009
1.2.4,0.999,"Hatfield, Gary","Hume, Space, and the Self",2009
1.2.5,2.0,"Hatfield, Gary","Hume, Space, and the Self",2009
1.4.6,0.999,"Hatfield, Gary","Hume, Space, and the Self",2009
1.2.6,1.0,"Noonan, Harold",The Self and Personal Identity,2012
1.3.9,1.0,"Noonan, Harold",The Self and Personal Identity,2012
1.4.2,12.0,"Noonan, Harold",The Self and Personal Identity,2012
1.4.3,2.0,"Noonan, Harold",The Self and Personal Identity,2012
1.4.4,3.0,"Noonan, Harold",The Self and Personal Identity,2012
1.4.5,9.0,"Noonan, Harold",The Self and Personal Identity,2012
1.4.6,21.0,"Noonan, Harold",The Self and Personal Identity,2012
1.4.7,1.0,"Noonan, Harold",The Self and Personal Identity,2012
App.,3.0,"Noonan, Harold",The Self and Personal Identity,2012
1.4.2,3.0,"Greco, Lorenzo",The Self as Narrative in Hume,2015
1.4.5,3.008,"Greco, Lorenzo",The Self as Narrative in Hume,2015
1.4.6,29.055,"Greco, Lorenzo",The Self as Narrative in Hume,2015
1.4.7,1.0,"Greco, Lorenzo",The Self as Narrative in Hume,2015
2.1.2,7.002,"Greco, Lorenzo",The Self as Narrative in Hume,2015
2.1.3,1.0,"Greco, Lorenzo",The Self as Narrative in Hume,2015
2.1.5,2.001,"Greco, Lorenzo",The Self as Narrative in Hume,2015
2.1.8,1.0,"Greco, Lorenzo",The Self as Narrative in Hume,2015
2.1.9,1.0,"Greco, Lorenzo",The Self as Narrative in Hume,2015
2.1.11,3.008,"Greco, Lorenzo",The Self as Narrative in Hume,2015
2.2.1,1.0,"Greco, Lorenzo",The Self as Narrative in Hume,2015
2.2.2,3.0,"Greco, Lorenzo",The Self as Narrative in Hume,2015
2.2.4,1.0,"Greco, Lorenzo",The Self as Narrative in Hume,2015
2.2.5,1.0,"Greco, Lorenzo",The Self as Narrative in Hume,2015
2.3.7,2.0,"Greco, Lorenzo",The Self as Narrative in Hume,2015
3.3.1,4.0,"Greco, Lorenzo",The Self as Narrative in Hume,2015
3.3.2,2.008,"Greco, Lorenzo",The Self as Narrative in Hume,2015
3.3.4,1.005,"Greco, Lorenzo",The Self as Narrative in Hume,2015
App.,3.0,"Greco, Lorenzo",The Self as Narrative in Hume,2015
1.1.1,2.0,"Ainslie, Donald C.",Projection and Realism in Humes Philosophy. By P. J. E. Kail,2009
1.1.7,1.0,"Ainslie, Donald C.",Projection and Realism in Humes Philosophy. By P. J. E. Kail,2009
1.2.5,1.0,"Ainslie, Donald C.",Projection and Realism in Humes Philosophy. By P. J. E. Kail,2009
1.2.6,1.0,"Ainslie, Donald C.",Projection and Realism in Humes Philosophy. By P. J. E. Kail,2009
1.3.8,0.999,"Ainslie, Donald C.",Projection and Realism in Humes Philosophy. By P. J. E. Kail,2009
1.3.14,3.0,"Ainslie, Donald C.",Projection and Realism in Humes Philosophy. By P. J. E. Kail,2009
1.4.2,0.975,"Ainslie, Donald C.",Projection and Realism in Humes Philosophy. By P. J. E. Kail,2009
1.4.5,1.0,"Ainslie, Donald C.",Projection and Realism in Humes Philosophy. By P. J. E. Kail,2009
1.4.6,1.001,"Ainslie, Donald C.",Projection and Realism in Humes Philosophy. By P. J. E. Kail,2009
2.3.3,1.0,"Ainslie, Donald C.",Projection and Realism in Humes Philosophy. By P. J. E. Kail,2009
1.4.6,1.001,"Biro, J. I.",Hume on Self-Identity and Memory,1976
1.4.5,6.016,"McIntyre, Jane L.",So Great a Question A Critical Study of Raymond Martin and John Barresi,2003
1.4.6,6.008,"McIntyre, Jane L.",So Great a Question A Critical Study of Raymond Martin and John Barresi,2003
2.1.2,2.0,"McIntyre, Jane L.",So Great a Question A Critical Study of Raymond Martin and John Barresi,2003
1.4.6,1.008,"Bricke, John","Penelhum, Terence. Themes in Hume The Self, the Will, Religion",2002
1.3.13,2.001,"Ainslie, Donald C.",The Problem of the National Self in Humes Theory of Justice,1995
2.1.2,0.334,"Ainslie, Donald C.",The Problem of the National Self in Humes Theory of Justice,1995
2.1.6,3.999,"Ainslie, Donald C.",The Problem of the National Self in Humes Theory of Justice,1995
2.1.9,0.333,"Ainslie, Donald C.",The Problem of the National Self in Humes Theory of Justice,1995
2.1.10,0.5,"Ainslie, Donald C.",The Problem of the National Self in Humes Theory of Justice,1995
2.1.11,6.501,"Ainslie, Donald C.",The Problem of the National Self in Humes Theory of Justice,1995
2.2.1,1.5,"Ainslie, Donald C.",The Problem of the National Self in Humes Theory of Justice,1995
2.2.2,1.499,"Ainslie, Donald C.",The Problem of the National Self in Humes Theory of Justice,1995
2.2.3,0.999,"Ainslie, Donald C.",The Problem of the National Self in Humes Theory of Justice,1995
2.2.4,1.333,"Ainslie, Donald C.",The Problem of the National Self in Humes Theory of Justice,1995
2.2.9,1.0,"Ainslie, Donald C.",The Problem of the National Self in Humes Theory of Justice,1995
2.3.1,1.998,"Ainslie, Donald C.",The Problem of the National Self in Humes Theory of Justice,1995
2.3.9,1.002,"Ainslie, Donald C.",The Problem of the National Self in Humes Theory of Justice,1995
3.2.1,0.25,"Ainslie, Donald C.",The Problem of the National Self in Humes Theory of Justice,1995
3.2.2,10.247,"Ainslie, Donald C.",The Problem of the National Self in Humes Theory of Justice,1995
3.2.5,0.999,"Ainslie, Donald C.",The Problem of the National Self in Humes Theory of Justice,1995
3.2.6,1.5,"Ainslie, Donald C.",The Problem of the National Self in Humes Theory of Justice,1995
3.2.7,1.999,"Ainslie, Donald C.",The Problem of the National Self in Humes Theory of Justice,1995
3.2.8,2.5,"Ainslie, Donald C.",The Problem of the National Self in Humes Theory of Justice,1995
3.2.9,1.0,"Ainslie, Donald C.",The Problem of the National Self in Humes Theory of Justice,1995
3.2.10,0.5,"Ainslie, Donald C.",The Problem of the National Self in Humes Theory of Justice,1995
3.2.11,2.0,"Ainslie, Donald C.",The Problem of the National Self in Humes Theory of Justice,1995
3.3.1,6.998,"Ainslie, Donald C.",The Problem of the National Self in Humes Theory of Justice,1995
1.4.2,0.975,"Flage, Daniel E.",Humes Philosophy of the Self,2004
1.4.3,1.001,"Flage, Daniel E.",Humes Philosophy of the Self,2004
1.4.4,1.0,"Flage, Daniel E.",Humes Philosophy of the Self,2004
1.4.6,2.008,"Flage, Daniel E.",Humes Philosophy of the Self,2004
1.4.6,3.024,"Scarre, Geoffrey",What Was Humes Worry About Personal Identity?,1983
1.1.1,9.0,"Stroud, Barry","The Evident Connexion Hume on Personal Identity, by Galen Strawson.",2013
1.1.2,1.0,"Stroud, Barry","The Evident Connexion Hume on Personal Identity, by Galen Strawson.",2013
1.1.3,1.5,"Stroud, Barry","The Evident Connexion Hume on Personal Identity, by Galen Strawson.",2013
1.1.4,21.504,"Stroud, Barry","The Evident Connexion Hume on Personal Identity, by Galen Strawson.",2013
1.1.5,6.0,"Stroud, Barry","The Evident Connexion Hume on Personal Identity, by Galen Strawson.",2013
1.1.6,1.0,"Stroud, Barry","The Evident Connexion Hume on Personal Identity, by Galen Strawson.",2013
1.1.7,7.001,"Stroud, Barry","The Evident Connexion Hume on Personal Identity, by Galen Strawson.",2013
1.2.3,1.0,"Stroud, Barry","The Evident Connexion Hume on Personal Identity, by Galen Strawson.",2013
1.2.4,12.5,"Stroud, Barry","The Evident Connexion Hume on Personal Identity, by Galen Strawson.",2013
1.2.5,4.0,"Stroud, Barry","The Evident Connexion Hume on Personal Identity, by Galen Strawson.",2013
1.2.6,2.0,"Stroud, Barry","The Evident Connexion Hume on Personal Identity, by Galen Strawson.",2013
1.3.1,2.0,"Stroud, Barry","The Evident Connexion Hume on Personal Identity, by Galen Strawson.",2013
1.3.5,1.0,"Stroud, Barry","The Evident Connexion Hume on Personal Identity, by Galen Strawson.",2013
1.3.6,4.0,"Stroud, Barry","The Evident Connexion Hume on Personal Identity, by Galen Strawson.",2013
1.3.7,1.5,"Stroud, Barry","The Evident Connexion Hume on Personal Identity, by Galen Strawson.",2013
1.3.8,1.0,"Stroud, Barry","The Evident Connexion Hume on Personal Identity, by Galen Strawson.",2013
1.3.9,1.0,"Stroud, Barry","The Evident Connexion Hume on Personal Identity, by Galen Strawson.",2013
1.3.10,1.0,"Stroud, Barry","The Evident Connexion Hume on Personal Identity, by Galen Strawson.",2013
1.3.12,1.0,"Stroud, Barry","The Evident Connexion Hume on Personal Identity, by Galen Strawson.",2013
1.3.14,37.034,"Stroud, Barry","The Evident Connexion Hume on Personal Identity, by Galen Strawson.",2013
1.3.15,6.0,"Stroud, Barry","The Evident Connexion Hume on Personal Identity, by Galen Strawson.",2013
1.3.16,3.0,"Stroud, Barry","The Evident Connexion Hume on Personal Identity, by Galen Strawson.",2013
1.4.2,42.327,"Stroud, Barry","The Evident Connexion Hume on Personal Identity, by Galen Strawson.",2013
1.4.3,4.501,"Stroud, Barry","The Evident Connexion Hume on Personal Identity, by Galen Strawson.",2013
1.4.4,2.0,"Stroud, Barry","The Evident Connexion Hume on Personal Identity, by Galen Strawson.",2013
1.4.5,42.027,"Stroud, Barry","The Evident Connexion Hume on Personal Identity, by Galen Strawson.",2013
1.4.6,26.184,"Stroud, Barry","The Evident Connexion Hume on Personal Identity, by Galen Strawson.",2013
1.4.7,11.0,"Stroud, Barry","The Evident Connexion Hume on Personal Identity, by Galen Strawson.",2013
2.1.2,1.0,"Stroud, Barry","The Evident Connexion Hume on Personal Identity, by Galen Strawson.",2013
2.1.5,1.0,"Stroud, Barry","The Evident Connexion Hume on Personal Identity, by Galen Strawson.",2013
2.1.8,1.0,"Stroud, Barry","The Evident Connexion Hume on Personal Identity, by Galen Strawson.",2013
2.1.9,1.0,"Stroud, Barry","The Evident Connexion Hume on Personal Identity, by Galen Strawson.",2013
2.1.11,5.0,"Stroud, Barry","The Evident Connexion Hume on Personal Identity, by Galen Strawson.",2013
2.2.1,1.0,"Stroud, Barry","The Evident Connexion Hume on Personal Identity, by Galen Strawson.",2013
2.2.2,3.0,"Stroud, Barry","The Evident Connexion Hume on Personal Identity, by Galen Strawson.",2013
2.2.4,2.0,"Stroud, Barry","The Evident Connexion Hume on Personal Identity, by Galen Strawson.",2013
2.2.6,6.0,"Stroud, Barry","The Evident Connexion Hume on Personal Identity, by Galen Strawson.",2013
2.2.11,1.0,"Stroud, Barry","The Evident Connexion Hume on Personal Identity, by Galen Strawson.",2013
2.3.1,1.0,"Stroud, Barry","The Evident Connexion Hume on Personal Identity, by Galen Strawson.",2013
2.3.7,2.0,"Stroud, Barry","The Evident Connexion Hume on Personal Identity, by Galen Strawson.",2013
3.1.1,1.0,"Stroud, Barry","The Evident Connexion Hume on Personal Identity, by Galen Strawson.",2013
App.,47.5,"Stroud, Barry","The Evident Connexion Hume on Personal Identity, by Galen Strawson.",2013
Abs,10.5,"Stroud, Barry","The Evident Connexion Hume on Personal Identity, by Galen Strawson.",2013
1.4.6,1.0,"Roth, Abe",The Evident Connexion Hume on Personal Identity by Galen Strawson,2013
1.3.14,1.008,"Waxman, Wayne",Humes Quandary Concerning Personal Identity,1992
1.4.6,10.08,"Waxman, Wayne",Humes Quandary Concerning Personal Identity,1992
1.3.14,1.0,"Coventry, Angela","Review P. J. E. Kail, Projection and Realism in Humes Philosophy",2008
1.4.7,1.0,"Coventry, Angela","Review P. J. E. Kail, Projection and Realism in Humes Philosophy",2008
App.,5.0,"Coventry, Angela","Review P. J. E. Kail, Projection and Realism in Humes Philosophy",2008
1.1.6,0.999,"Ainslie, Donald C.",Scepticism About Persons in Book II of Humes Treatise,1999
1.3.6,0.992,"Ainslie, Donald C.",Scepticism About Persons in Book II of Humes Treatise,1999
1.3.13,0.989,"Ainslie, Donald C.",Scepticism About Persons in Book II of Humes Treatise,1999
1.3.15,1.001,"Ainslie, Donald C.",Scepticism About Persons in Book II of Humes Treatise,1999
1.4.3,1.001,"Ainslie, Donald C.",Scepticism About Persons in Book II of Humes Treatise,1999
1.4.6,2.016,"Ainslie, Donald C.",Scepticism About Persons in Book II of Humes Treatise,1999
2.1.6,1.001,"Ainslie, Donald C.",Scepticism About Persons in Book II of Humes Treatise,1999
2.1.7,2.0,"Ainslie, Donald C.",Scepticism About Persons in Book II of Humes Treatise,1999
2.1.8,0.999,"Ainslie, Donald C.",Scepticism About Persons in Book II of Humes Treatise,1999
2.1.9,0.994,"Ainslie, Donald C.",Scepticism About Persons in Book II of Humes Treatise,1999
2.1.11,1.008,"Ainslie, Donald C.",Scepticism About Persons in Book II of Humes Treatise,1999
2.2.4,1.001,"Ainslie, Donald C.",Scepticism About Persons in Book II of Humes Treatise,1999
2.2.6,1.002,"Ainslie, Donald C.",Scepticism About Persons in Book II of Humes Treatise,1999
2.3.1,0.594,"Ainslie, Donald C.",Scepticism About Persons in Book II of Humes Treatise,1999
2.3.3,1.0,"Ainslie, Donald C.",Scepticism About Persons in Book II of Humes Treatise,1999
2.3.10,0.396,"Ainslie, Donald C.",Scepticism About Persons in Book II of Humes Treatise,1999
3.1.1,0.99,"Ainslie, Donald C.",Scepticism About Persons in Book II of Humes Treatise,1999
3.1.2,0.996,"Ainslie, Donald C.",Scepticism About Persons in Book II of Humes Treatise,1999
3.3.3,0.999,"Ainslie, Donald C.",Scepticism About Persons in Book II of Humes Treatise,1999
1.3.14,9.016,"Winkler, Kenneth P.",P.J.E. Kails Projection and Realism in Humes Philosophy,2010
1.4.4,2.0,"Winkler, Kenneth P.",P.J.E. Kails Projection and Realism in Humes Philosophy,2010
1.4.6,4.016,"Winkler, Kenneth P.",P.J.E. Kails Projection and Realism in Humes Philosophy,2010
App.,3.0,"Winkler, Kenneth P.",P.J.E. Kails Projection and Realism in Humes Philosophy,2010
1.4.5,0.111,"Roth, Robert J.",Hume and James on Personal Identity,1990
1.4.6,0.888,"Roth, Robert J.",Hume and James on Personal Identity,1990
1.1.1,1.0,"Pitson, Tony","The Evident Connexion Hume on Personal Identity. By Galen Strawson. Oxford Oxford University Press, 2011, Pp. Xii + 165. ISBN 9780199608508",2012
1.1.5,1.0,"Pitson, Tony","The Evident Connexion Hume on Personal Identity. By Galen Strawson. Oxford Oxford University Press, 2011, Pp. Xii + 165. ISBN 9780199608508",2012
1.1.7,1.0,"Pitson, Tony","The Evident Connexion Hume on Personal Identity. By Galen Strawson. Oxford Oxford University Press, 2011, Pp. Xii + 165. ISBN 9780199608508",2012
1.2.3,1.007,"Pitson, Tony","The Evident Connexion Hume on Personal Identity. By Galen Strawson. Oxford Oxford University Press, 2011, Pp. Xii + 165. ISBN 9780199608508",2012
1.2.5,2.0,"Pitson, Tony","The Evident Connexion Hume on Personal Identity. By Galen Strawson. Oxford Oxford University Press, 2011, Pp. Xii + 165. ISBN 9780199608508",2012
1.3.2,1.003,"Pitson, Tony","The Evident Connexion Hume on Personal Identity. By Galen Strawson. Oxford Oxford University Press, 2011, Pp. Xii + 165. ISBN 9780199608508",2012
1.4.2,2.0,"Pitson, Tony","The Evident Connexion Hume on Personal Identity. By Galen Strawson. Oxford Oxford University Press, 2011, Pp. Xii + 165. ISBN 9780199608508",2012
1.4.3,1.0,"Pitson, Tony","The Evident Connexion Hume on Personal Identity. By Galen Strawson. Oxford Oxford University Press, 2011, Pp. Xii + 165. ISBN 9780199608508",2012
1.4.5,2.0,"Pitson, Tony","The Evident Connexion Hume on Personal Identity. By Galen Strawson. Oxford Oxford University Press, 2011, Pp. Xii + 165. ISBN 9780199608508",2012
1.4.6,10.048,"Pitson, Tony","The Evident Connexion Hume on Personal Identity. By Galen Strawson. Oxford Oxford University Press, 2011, Pp. Xii + 165. ISBN 9780199608508",2012
2.2.6,1.0,"Pitson, Tony","The Evident Connexion Hume on Personal Identity. By Galen Strawson. Oxford Oxford University Press, 2011, Pp. Xii + 165. ISBN 9780199608508",2012
App.,2.0,"Pitson, Tony","The Evident Connexion Hume on Personal Identity. By Galen Strawson. Oxford Oxford University Press, 2011, Pp. Xii + 165. ISBN 9780199608508",2012
Abs,1.0,"Pitson, Tony","The Evident Connexion Hume on Personal Identity. By Galen Strawson. Oxford Oxford University Press, 2011, Pp. Xii + 165. ISBN 9780199608508",2012
1.1.1,0.999,"Henderson, Robert S.",David Hume on Personal Identity and the Indirect Passions,1990
1.4.1,0.333,"Henderson, Robert S.",David Hume on Personal Identity and the Indirect Passions,1990
1.4.2,0.666,"Henderson, Robert S.",David Hume on Personal Identity and the Indirect Passions,1990
1.4.5,0.333,"Henderson, Robert S.",David Hume on Personal Identity and the Indirect Passions,1990
1.4.6,5.661,"Henderson, Robert S.",David Hume on Personal Identity and the Indirect Passions,1990
2.1.1,3.123,"Henderson, Robert S.",David Hume on Personal Identity and the Indirect Passions,1990
2.1.2,6.874,"Henderson, Robert S.",David Hume on Personal Identity and the Indirect Passions,1990
2.1.3,3.0,"Henderson, Robert S.",David Hume on Personal Identity and the Indirect Passions,1990
2.1.6,2.999,"Henderson, Robert S.",David Hume on Personal Identity and the Indirect Passions,1990
2.1.8,1.332,"Henderson, Robert S.",David Hume on Personal Identity and the Indirect Passions,1990
2.1.9,0.666,"Henderson, Robert S.",David Hume on Personal Identity and the Indirect Passions,1990
2.1.11,1.001,"Henderson, Robert S.",David Hume on Personal Identity and the Indirect Passions,1990
2.2.1,1.0,"Henderson, Robert S.",David Hume on Personal Identity and the Indirect Passions,1990
2.2.5,0.999,"Henderson, Robert S.",David Hume on Personal Identity and the Indirect Passions,1990
2.3.3,1.0,"Henderson, Robert S.",David Hume on Personal Identity and the Indirect Passions,1990
3.1.2,0.999,"Henderson, Robert S.",David Hume on Personal Identity and the Indirect Passions,1990
App.,1.0,"Henderson, Robert S.",David Hume on Personal Identity and the Indirect Passions,1990
1.1.1,0.248,"Loeb, L. E.",Review P. J. E. Kail Projection and Realism in Humes Philosophy,2009
1.2.6,1.002,"Loeb, L. E.",Review P. J. E. Kail Projection and Realism in Humes Philosophy,2009
1.3.8,0.5,"Loeb, L. E.",Review P. J. E. Kail Projection and Realism in Humes Philosophy,2009
1.3.13,1.0,"Loeb, L. E.",Review P. J. E. Kail Projection and Realism in Humes Philosophy,2009
1.3.14,4.008,"Loeb, L. E.",Review P. J. E. Kail Projection and Realism in Humes Philosophy,2009
1.3.15,0.249,"Loeb, L. E.",Review P. J. E. Kail Projection and Realism in Humes Philosophy,2009
1.4.2,7.953,"Loeb, L. E.",Review P. J. E. Kail Projection and Realism in Humes Philosophy,2009
1.4.4,3.984,"Loeb, L. E.",Review P. J. E. Kail Projection and Realism in Humes Philosophy,2009
1.4.5,0.999,"Loeb, L. E.",Review P. J. E. Kail Projection and Realism in Humes Philosophy,2009
1.4.7,1.0,"Loeb, L. E.",Review P. J. E. Kail Projection and Realism in Humes Philosophy,2009
3.3.1,1.001,"Loeb, L. E.",Review P. J. E. Kail Projection and Realism in Humes Philosophy,2009
1.4.2,1.0,"Levin, Michael E.",Bundling Hume with Kripkenstein,2007
1.4.6,1.999,"Levin, Michael E.",Bundling Hume with Kripkenstein,2007
App.,0.998,"Levin, Michael E.",Bundling Hume with Kripkenstein,2007
1.1.4,1.0,"Garrett, Don",Once More Into the Labyrinth Kail\textquoterights Realist Explanation of Hume\textquoterights Second Thoughts About Personal Identity,2010
